timestamp,machine_id,line,status,temperature_c,vibration_mm_s,power_kw,operator
2026-01-12T00:00:00Z,MA-01,Line-A,RUNNING,79.11,2.22,49.12,Reid
2026-01-12T00:00:00Z,MA-02,Line-A,DOWN,85.98,5.78,18.61,Reid
2026-01-12T00:00:00Z,MA-03,Line-A,RUNNING,77.34,4.49,24.78,Patel
2026-01-12T00:00:00Z,MA-04,Line-A,RUNNING,82.62,4.1,46.83,Nguyen
2026-01-12T00:00:00Z,MB-01,Line-B,DOWN,85.77,7.0,21.26,Nguyen
2026-01-12T00:00:00Z,MB-02,Line-B,IDLE,67.75,5.27,33.24,Diaz
2026-01-12T00:00:00Z,MB-03,Line-B,RUNNING,82.08,4.92,41.09,Diaz
2026-01-12T00:00:00Z,MB-04,Line-B,RUNNING,68.02,2.5,49.15,Alvarez
2026-01-12T00:00:00Z,MC-01,Line-C,ALARM,84.02,2.87,14.14,Patel
2026-01-12T00:00:00Z,MC-02,Line-C,RUNNING,63.36,2.95,49.68,Reid
2026-01-12T00:00:00Z,MC-03,Line-C,RUNNING,82.42,4.03,48.66,Diaz
2026-01-12T00:00:00Z,MC-04,Line-C,DOWN,85.33,6.88,39.97,Nguyen
2026-01-12T00:00:00Z,MD-01,Line-D,RUNNING,80.34,8.3,35.16,Diaz
2026-01-12T00:00:00Z,MD-02,Line-D,RUNNING,68.16,6.17,24.89,Nguyen
2026-01-12T00:00:00Z,MD-03,Line-D,ALARM,84.49,6.84,42.29,Chen
2026-01-12T00:00:00Z,MD-04,Line-D,RUNNING,83.45,4.83,17.41,Diaz
2026-01-12T01:00:00Z,MA-01,Line-A,RUNNING,63.29,4.05,22.05,Alvarez
2026-01-12T01:00:00Z,MA-02,Line-A,RUNNING,65.88,7.5,39.51,Chen
2026-01-12T01:00:00Z,MA-03,Line-A,RUNNING,69.6,4.57,41.31,Diaz
2026-01-12T01:00:00Z,MA-04,Line-A,RUNNING,83.07,5.39,44.28,Reid
2026-01-12T01:00:00Z,MB-01,Line-B,RUNNING,79.17,2.44,26.6,Diaz
2026-01-12T01:00:00Z,MB-02,Line-B,ALARM,84.67,6.78,21.01,Chen
2026-01-12T01:00:00Z,MB-03,Line-B,RUNNING,81.82,4.25,50.79,Morris
2026-01-12T01:00:00Z,MB-04,Line-B,RUNNING,77.33,3.02,21.97,Chen
2026-01-12T01:00:00Z,MC-01,Line-C,RUNNING,77.84,2.13,33.73,Nguyen
2026-01-12T01:00:00Z,MC-02,Line-C,RUNNING,84.05,4.84,43.62,Chen
2026-01-12T01:00:00Z,MC-03,Line-C,RUNNING,65.47,5.95,44.7,Diaz
2026-01-12T01:00:00Z,MC-04,Line-C,RUNNING,63.44,6.63,25.9,Reid
2026-01-12T01:00:00Z,MD-01,Line-D,RUNNING,78.04,7.76,31.68,Chen
2026-01-12T01:00:00Z,MD-02,Line-D,RUNNING,81.44,2.23,22.51,Chen
2026-01-12T01:00:00Z,MD-03,Line-D,RUNNING,66.69,4.21,18.19,Reid
2026-01-12T01:00:00Z,MD-04,Line-D,RUNNING,82.47,7.5,41.46,Morris
